2026-08-01 07:51:34 | INFO | === YOLOv11 Inference Run: yolov11_m ===
2026-08-01 07:51:34 | INFO | Weights: /mnt/DATA/EE25M305/Sonar_Vision/run/train/sonar_yolov11_m/weights/best.pt
2026-08-01 07:51:34 | INFO | Source images: /mnt/DATA/EE25M305/Sonar_Vision/Sonar_Dataset/images/test
2026-08-01 07:51:34 | INFO | conf=0.25  iou=0.45  imgsz=640  device='0,1,2'  workers=24
2026-08-01 07:51:34 | INFO | Model loaded. Classes: {0: 'mine', 1: 'can', 2: 'bottle', 3: 'drink-carton', 4: 'chain', 5: 'propeller', 6: 'tire', 7: 'hook', 8: 'valve', 9: 'shampoo-bottle', 10: 'standing-bottle'}
2026-08-01 07:51:34 | INFO | Running validation on split='test' using /mnt/DATA/EE25M305/Sonar_Vision/Sonar_Dataset/data.yaml for P/R/mAP ...
2026-08-01 07:51:43 | INFO | Validation complete. Overall: {'precision': 0.9828, 'recall': 0.9688, 'map50': 0.9795, 'map5095': 0.757}
2026-08-01 07:51:43 | INFO | Found 206 test images.
2026-08-01 07:51:43 | INFO | [1/206] marine_marine-debris-aris3k-1009.png -> 1 detection(s) | 99.8 ms | 10.0 FPS
2026-08-01 07:51:43 | INFO | [2/206] marine_marine-debris-aris3k-1018.png -> 1 detection(s) | 14.3 ms | 70.0 FPS
2026-08-01 07:51:43 | INFO | [3/206] marine_marine-debris-aris3k-1043.png -> 1 detection(s) | 66.9 ms | 15.0 FPS
2026-08-01 07:51:43 | INFO | [4/206] marine_marine-debris-aris3k-1046.png -> 1 detection(s) | 14.7 ms | 67.8 FPS
2026-08-01 07:51:43 | INFO | [5/206] marine_marine-debris-aris3k-1052.png -> 1 detection(s) | 16.2 ms | 61.8 FPS
2026-08-01 07:51:43 | INFO | [6/206] marine_marine-debris-aris3k-1056.png -> 2 detection(s) | 17.6 ms | 56.9 FPS
2026-08-01 07:51:43 | INFO | [7/206] marine_marine-debris-aris3k-1077.png -> 1 detection(s) | 18.0 ms | 55.7 FPS
2026-08-01 07:51:43 | INFO | [8/206] marine_marine-debris-aris3k-1081.png -> 2 detection(s) | 16.7 ms | 59.7 FPS
2026-08-01 07:51:43 | INFO | [9/206] marine_marine-debris-aris3k-1084.png -> 1 detection(s) | 17.1 ms | 58.6 FPS
2026-08-01 07:51:44 | INFO | [10/206] marine_marine-debris-aris3k-110.png -> 0 detections | 16.1 ms | 62.2 FPS
2026-08-01 07:51:44 | INFO | [11/206] marine_marine-debris-aris3k-1114.png -> 0 detections | 16.5 ms | 60.6 FPS
2026-08-01 07:51:44 | INFO | [12/206] marine_marine-debris-aris3k-1119.png -> 1 detection(s) | 14.8 ms | 67.5 FPS
2026-08-01 07:51:44 | INFO | [13/206] marine_marine-debris-aris3k-1125.png -> 2 detection(s) | 16.0 ms | 62.6 FPS
2026-08-01 07:51:44 | INFO | [14/206] marine_marine-debris-aris3k-1129.png -> 1 detection(s) | 16.2 ms | 61.7 FPS
2026-08-01 07:51:44 | INFO | [15/206] marine_marine-debris-aris3k-1142.png -> 1 detection(s) | 14.6 ms | 68.7 FPS
2026-08-01 07:51:44 | INFO | [16/206] marine_marine-debris-aris3k-1144.png -> 1 detection(s) | 15.6 ms | 64.2 FPS
2026-08-01 07:51:44 | INFO | [17/206] marine_marine-debris-aris3k-1158.png -> 1 detection(s) | 16.3 ms | 61.4 FPS
2026-08-01 07:51:44 | INFO | [18/206] marine_marine-debris-aris3k-1165.png -> 1 detection(s) | 16.1 ms | 62.0 FPS
2026-08-01 07:51:44 | INFO | [19/206] marine_marine-debris-aris3k-1168.png -> 1 detection(s) | 14.2 ms | 70.2 FPS
2026-08-01 07:51:44 | INFO | [20/206] marine_marine-debris-aris3k-117.png -> 1 detection(s) | 17.1 ms | 58.6 FPS
2026-08-01 07:51:44 | INFO | [21/206] marine_marine-debris-aris3k-1176.png -> 3 detection(s) | 17.1 ms | 58.5 FPS
