2026-08-01 07:51:15 | INFO | === YOLOv11 Inference Run: yolov11_s ===
2026-08-01 07:51:15 | INFO | Weights: /mnt/DATA/EE25M305/Sonar_Vision/run/train/sonar_yolov11_s/weights/best.pt
2026-08-01 07:51:15 | INFO | Source images: /mnt/DATA/EE25M305/Sonar_Vision/Sonar_Dataset/images/test
2026-08-01 07:51:15 | INFO | conf=0.25  iou=0.45  imgsz=640  device='0,1,2'  workers=24
2026-08-01 07:51:16 | INFO | Model loaded. Classes: {0: 'mine', 1: 'can', 2: 'bottle', 3: 'drink-carton', 4: 'chain', 5: 'propeller', 6: 'tire', 7: 'hook', 8: 'valve', 9: 'shampoo-bottle', 10: 'standing-bottle'}
2026-08-01 07:51:16 | INFO | Running validation on split='test' using /mnt/DATA/EE25M305/Sonar_Vision/Sonar_Dataset/data.yaml for P/R/mAP ...
2026-08-01 07:51:24 | INFO | Validation complete. Overall: {'precision': 0.9766, 'recall': 0.9896, 'map50': 0.983, 'map5095': 0.763}
2026-08-01 07:51:24 | INFO | Found 206 test images.
2026-08-01 07:51:24 | INFO | [1/206] marine_marine-debris-aris3k-1009.png -> 1 detection(s) | 87.3 ms | 11.5 FPS
2026-08-01 07:51:24 | INFO | [2/206] marine_marine-debris-aris3k-1018.png -> 1 detection(s) | 11.8 ms | 84.6 FPS
2026-08-01 07:51:24 | INFO | [3/206] marine_marine-debris-aris3k-1043.png -> 1 detection(s) | 70.5 ms | 14.2 FPS
2026-08-01 07:51:24 | INFO | [4/206] marine_marine-debris-aris3k-1046.png -> 1 detection(s) | 13.3 ms | 75.1 FPS
2026-08-01 07:51:24 | INFO | [5/206] marine_marine-debris-aris3k-1052.png -> 1 detection(s) | 12.9 ms | 77.7 FPS
2026-08-01 07:51:24 | INFO | [6/206] marine_marine-debris-aris3k-1056.png -> 2 detection(s) | 18.0 ms | 55.5 FPS
2026-08-01 07:51:24 | INFO | [7/206] marine_marine-debris-aris3k-1077.png -> 1 detection(s) | 19.2 ms | 52.0 FPS
2026-08-01 07:51:24 | INFO | [8/206] marine_marine-debris-aris3k-1081.png -> 2 detection(s) | 13.6 ms | 73.5 FPS
2026-08-01 07:51:24 | INFO | [9/206] marine_marine-debris-aris3k-1084.png -> 1 detection(s) | 13.9 ms | 72.0 FPS
2026-08-01 07:51:24 | INFO | [10/206] marine_marine-debris-aris3k-110.png -> 1 detection(s) | 14.2 ms | 70.2 FPS
2026-08-01 07:51:24 | INFO | [11/206] marine_marine-debris-aris3k-1114.png -> 1 detection(s) | 14.1 ms | 71.2 FPS
2026-08-01 07:51:25 | INFO | [12/206] marine_marine-debris-aris3k-1119.png -> 1 detection(s) | 15.2 ms | 65.8 FPS
2026-08-01 07:51:25 | INFO | [13/206] marine_marine-debris-aris3k-1125.png -> 2 detection(s) | 13.7 ms | 73.1 FPS
2026-08-01 07:51:25 | INFO | [14/206] marine_marine-debris-aris3k-1129.png -> 1 detection(s) | 13.3 ms | 75.4 FPS
2026-08-01 07:51:25 | INFO | [15/206] marine_marine-debris-aris3k-1142.png -> 1 detection(s) | 13.7 ms | 72.8 FPS
