image,object,class,yolo_conf,sam_score,x1,y1,x2,y2
marine_marine-debris-aris3k-1009.png,0,5,0.902703583240509,0.4248466491699219,120,367,189,465
marine_marine-debris-aris3k-1018.png,0,9,0.924116849899292,0.3842151463031769,181,300,238,488
marine_marine-debris-aris3k-1043.png,0,1,0.921212375164032,0.6601018905639648,169,294,262,400
marine_marine-debris-aris3k-1046.png,0,1,0.9208729863166809,0.7974759340286255,125,243,204,312
marine_marine-debris-aris3k-1052.png,0,1,0.9165541529655457,0.855939507484436,217,127,296,194
marine_marine-debris-aris3k-1056.png,0,6,0.9261965155601501,0.5760617852210999,151,395,224,493
marine_marine-debris-aris3k-1056.png,1,2,0.9047068953514099,0.3418276011943817,142,250,220,342
marine_marine-debris-aris3k-1077.png,0,3,0.868704617023468,0.878375768661499,323,386,387,447
marine_marine-debris-aris3k-1081.png,0,3,0.9267175197601318,0.9202896952629089,154,387,220,456
marine_marine-debris-aris3k-1081.png,1,4,0.8834450840950012,0.7491852641105652,308,216,369,280
marine_marine-debris-aris3k-1081.png,2,4,0.2573930323123932,0.7834101915359497,296,202,355,260
marine_marine-debris-aris3k-1084.png,0,2,0.9527546167373657,0.8150650858879089,195,160,276,242
marine_marine-debris-aris3k-110.png,0,3,0.8245121240615845,0.809662401676178,180,418,248,485
marine_marine-debris-aris3k-110.png,1,4,0.7917606830596924,0.5883108377456665,294,202,358,263
marine_marine-debris-aris3k-1114.png,0,4,0.3578352928161621,0.7751878499984741,368,252,413,312
marine_marine-debris-aris3k-1114.png,1,4,0.2561347186565399,0.7073870897293091,206,116,269,177
marine_marine-debris-aris3k-1119.png,0,10,0.8845263123512268,0.26018571853637695,175,271,220,460
marine_marine-debris-aris3k-1125.png,0,2,0.9233793020248413,0.7562400102615356,123,407,189,510
marine_marine-debris-aris3k-1125.png,1,2,0.9126455187797546,0.5430715084075928,181,213,231,303
marine_marine-debris-aris3k-1129.png,0,1,0.9069668650627136,0.6003687977790833,161,442,214,509
marine_marine-debris-aris3k-1142.png,0,1,0.9178345799446106,0.6467790603637695,184,445,236,511
marine_marine-debris-aris3k-1144.png,0,3,0.9062870144844055,0.4909132719039917,240,339,278,384
marine_marine-debris-aris3k-1158.png,0,3,0.9069080948829651,0.7241342067718506,194,277,238,330
marine_marine-debris-aris3k-1165.png,0,3,0.9080734252929688,0.6282044649124146,174,302,218,355
marine_marine-debris-aris3k-1168.png,0,1,0.9403771162033081,0.6330272555351257,114,478,166,530
marine_marine-debris-aris3k-117.png,0,1,0.909767210483551,0.8758674263954163,207,187,290,270
